=== /Users/shashanksaxena/Downloads/ASG Edge Plus Draft Feature List V1.xlsx ===
Sheets: ['ASG Edge Plus Modules', 'ASG Edge Plus Features', 'List of BRDs ', 'Pain points User Persona Wise', 'EdgePlusFields', 'FieldArchive', 'ExistingModules', 'ExistingNeededModules', 'ExistingGlobalFields', 'NeededGlobalFields', 'ExistingFirmFields', 'NeededFirmFields', 'Abbreviation', 'ASG Wishlist']


##### SHEET: ASG Edge Plus Modules #####
Work Area Number	Feature ID	Module	Sub Module	Pages	Sub Pages	Actions	Taazaa Remarks	ASG Remarks	Final Action
			SecurityDeposit.BeginDate	Begin Date	True	The Begin Date field allows you to select a begin date for the record.	The Begin Date field allows you to select a begin date for the record.
			SecurityDeposit.ContractID	Contract	True	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.
			SecurityDeposit.CovenantID	Covenant	False	Select the covenant that the record is associated with from this field.	Select the covenant that the record is associated with from this field.
			SecurityDeposit.DepositAmount	Deposit Amount	False	Enter the deposit total in this field.	Enter the deposit total in this field.
			SecurityDeposit.CodeCurrencyTypeID	Deposit Currency	True	The Currency Type field allows you to select a currency type to be used on a record.	The Currency Type field allows you to select a currency type to be used on a record.
			SecurityDeposit.EndDate	End Date	True	The End Date field allows you to select an end date for the record.	The End Date field allows you to select an end date for the record.
			SecurityDeposit.CodeGuaranteeTypeID	Guarantee Type	False	Select how the security deposit funds are guaranteed from this field.	Select how the security deposit funds are guaranteed from this field.
			SecurityDeposit.InterestBearingFlag	Interest Bearing?	False	 Select this check box if the account where the security deposit is being held is interest-bearing.	 Select this check box if the account where the security deposit is being held is interest-bearing.
			SecurityDeposit.InterestRate	Interest Rate	False	 Enter the interest rate for the account that is holding the security deposit in this field.	 Enter the interest rate for the account that is holding the security deposit in this field.
			SecurityDeposit.ModifiedByID	Modified By	True	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.	The Modified By field is a system-populated field which captures the name of the member who made a change to a record.
			SecurityDeposit.ModifiedDate	Modified Date	True	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.	The Modified Date field is a system-populated field which captures the date that a modification is made to a record.
			SecurityDeposit.Notes	Notes	False	Add any notes about the record.	Add any notes about the record.
			SecurityDeposit.PartyID	Party	False	Select the legal party who is associated with the security deposit from this field.	Select the legal party who is associated with the security deposit from this field.
			SecurityDeposit.RequiredFlag	Required?	False	Select this check box if the security deposit was required.	Select this check box if the security deposit was required.
			SecurityDeposit.CodePayBackCurrencyTypeID	Return Deposit Currency	False	Select the currency the security deposit will be returned in from this field.	Select the currency the security deposit will be returned in from this field.
			SecurityDeposit.Section	Section	False	Enter the section of the covenant that pertains to this record in this field.	Enter the section of the covenant that pertains to this record in this field.
			SecurityDeposit.BOMapClientRecordID	Security Deposit ClientID	True	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	The�ClientID field�is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".
			SecurityDeposit.CodeSecurityDepositGroupID	Security Deposit Group	False	The security deposit group is the first level of categorization for security deposit records. Groups are the parents of types. 	The security deposit group is the first level of categorization for security deposit records. Groups are the parents of types. 
			SecurityDeposit.SecurityDepositID	Security Deposit RecID	True	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.
			SecurityDeposit.CodeSecurityDepositStatusID	Security Deposit Status	False	Select the status of the security deposit from this field.	Select the status of the security deposit from this field.
			SecurityDeposit.CodeSecurityDepositTypeID	Security Deposit Type	False	The security deposit type is the second level of categorization for security deposit records. Types are the children of groups. 	The security deposit type is the second level of categorization for security deposit records. Types are the children of groups. 
			SecurityDeposit.SeparateAccountFlag	Separate Account?	False	 Select this check box if the security deposit is being held in a escrow account.	 Select this check box if the security deposit is being held in a escrow account.
		SL Schedule Type					
			CodeSLSchedule.DontAmortizeAssetValue	Don't Amortize Asset Value	True	When selected, the system will not amortize the asset to zero in the lease accounting schedule. See the <i>Amortization of the Asset in Contracts</i> article in the Lucernex Online Help for more information.	When selected, the system will not amortize the asset to zero in the lease accounting schedule. See the <i>Amortization of the Asset in Contracts</i> article in the Lucernex Online Help for more information.
			CodeSLSchedule.ExportAcct1Number	Export Account #1	True	Enter a export account number in this field. Export Accounts are tied to GL accounts in your Enterprise Resource Planning (ERP) System.	Enter a export account number in this field. Export Accounts are tied to GL accounts in your Enterprise Resource Planning (ERP) System.
			CodeSLSchedule.ExportAcct10Number	Export Account #10	True	Enter a export account number in this field. Export Accounts are tied to GL accounts in your Enterprise Resource Planning (ERP) System.	Enter a export account number in this field. Export Accounts are tied to GL accounts in your Enterprise Resource Planning (ERP) System.
			CodeSLSchedule.ExportAcct11Number	Export Account #11	True	Enter a export account number in this field. Export Accounts are tied to GL accounts in your Enterprise Resource Planning (ERP) System.	Enter a export account number in this field. Export Accounts are tied to GL accounts in your Enterprise Resource Planning (ERP) System.
